Date,Current_Close,Actual_Next_Day_Close,Predicted_Next_Day_Close,Predicted_Trend,Actual_Trend,Prediction_Difference
2015-01-07,148.8800048828125,151.3699951171875,148.58259872436523,Downtrend,Uptrend,-1.84
2015-01-15,147.5800018310547,149.2100067138672,148.31890029907225,Uptrend,Uptrend,-0.6
2015-01-27,147.64999389648438,144.77999877929688,148.97780059814454,Uptrend,Downtrend,2.9
2015-02-05,149.6699981689453,150.17999267578125,149.0361962890625,Downtrend,Uptrend,-0.76
2015-02-11,149.67999267578125,149.7899932861328,149.5959979248047,Downtrend,Uptrend,-0.13
2015-03-27,143.88999938964844,145.97999572753906,144.26940032958984,Uptrend,Uptrend,-1.17
2015-04-06,143.75999450683594,143.05999755859375,143.69129928588868,Downtrend,Downtrend,0.44
2015-04-17,140.6999969482422,142.08999633789062,141.39020095825197,Uptrend,Uptrend,-0.49
2015-04-24,142.08999633789062,141.08999633789062,141.59729904174804,Downtrend,Downtrend,0.36
2015-04-30,141.2100067138672,143.36000061035156,141.7071012878418,Uptrend,Uptrend,-1.15
2015-05-12,144.7899932861328,144.25999450683594,143.91349853515624,Downtrend,Downtrend,-0.24
2015-05-13,144.25999450683594,145.77999877929688,144.19919830322266,Downtrend,Uptrend,-1.08
2015-05-27,144.75,144.74000549316406,143.60990020751953,Downtrend,Downtrend,-0.78
2015-07-06,136.88999938964844,138.44000244140625,137.42530059814453,Uptrend,Uptrend,-0.73
2015-07-13,141.38999938964844,141.1199951171875,141.25999755859374,Downtrend,Downtrend,0.1
2015-07-31,142.74000549316406,142.3300018310547,142.75960311889648,Uptrend,Downtrend,0.3
2015-08-06,143.35000610351562,143.5500030517578,143.41879806518554,Uptrend,Uptrend,-0.09
2015-08-27,136.22999572753906,135.74000549316406,135.94990371704102,Downtrend,Downtrend,0.15
2015-09-29,128.80999755859375,130.39999389648438,127.98409927368164,Downtrend,Uptrend,-1.85
2015-11-09,134.0,134.72999572753906,131.32190048217774,Downtrend,Uptrend,-2.53
2015-12-10,131.7100067138672,130.30999755859375,132.39400100708008,Uptrend,Downtrend,1.6
2015-12-23,134.14999389648438,133.88999938964844,133.40059936523437,Downtrend,Downtrend,-0.37
2016-01-22,127.04000091552734,124.12999725341795,126.48939918518066,Downtrend,Downtrend,1.9
2016-01-26,125.88999938964844,125.19000244140624,128.17210334777832,Uptrend,Downtrend,2.38
2016-02-01,128.66000366210938,125.6999969482422,128.86409957885743,Uptrend,Downtrend,2.52
2016-02-12,128.07000732421875,128.55999755859375,126.23709968566895,Downtrend,Uptrend,-1.81
2016-03-07,138.72000122070312,137.8000030517578,139.27579666137694,Uptrend,Downtrend,1.07
2016-03-14,139.72000122070312,140.39999389648438,139.4978987121582,Downtrend,Uptrend,-0.64
2016-04-01,143.7899932861328,143.22000122070312,143.93740158081056,Uptrend,Downtrend,0.5
2016-04-07,140.80999755859375,141.05999755859375,141.4546990966797,Uptrend,Uptrend,0.28
2016-04-12,142.39999389648438,144.0399932861328,142.2912013244629,Downtrend,Uptrend,-1.21
2016-04-26,147.02000427246094,147.60000610351562,147.05690017700195,Uptrend,Uptrend,-0.37
2016-05-12,143.30999755859375,141.39999389648438,142.93959777832032,Downtrend,Downtrend,1.09
2016-05-17,140.33999633789062,141.47000122070312,140.4866000366211,Uptrend,Uptrend,-0.7
2016-06-01,141.99000549316406,142.11000061035156,141.76739929199218,Downtrend,Uptrend,-0.24
2016-06-17,140.72999572753906,141.6699981689453,141.5687026977539,Uptrend,Uptrend,-0.07
2016-06-28,140.27999877929688,142.1199951171875,140.85929885864257,Uptrend,Uptrend,-0.89
2016-08-02,143.30999755859375,143.6300048828125,143.28569885253907,Downtrend,Uptrend,-0.24
2016-08-05,145.64999389648438,145.55999755859375,145.41340026855468,Downtrend,Downtrend,-0.1
2016-08-15,147.77999877929688,147.24000549316406,148.20220092773437,Uptrend,Downtrend,0.65
2016-09-02,150.72000122070312,150.42999267578125,149.6409017944336,Downtrend,Downtrend,-0.52
2016-09-08,149.77999877929688,146.6199951171875,149.39259811401368,Downtrend,Downtrend,1.89
2016-10-04,143.1699981689453,144.14999389648438,143.47910140991212,Uptrend,Uptrend,-0.47
2016-10-13,143.22000122070312,144.17999267578125,143.53459915161133,Uptrend,Uptrend,-0.45
2016-10-31,144.3000030517578,143.6300048828125,144.4312986755371,Uptrend,Downtrend,0.56
2016-12-15,165.72999572753906,164.75999450683594,165.69919998168945,Downtrend,Downtrend,0.57
2016-12-21,165.9499969482422,166.02999877929688,166.25260025024414,Uptrend,Uptrend,0.13
2016-12-30,162.97999572753906,163.8300018310547,163.3037010192871,Uptrend,Uptrend,-0.32
2017-01-17,159.63999938964844,160.49000549316406,161.11570083618165,Uptrend,Uptrend,0.39
2017-01-23,158.80999755859375,160.72000122070312,159.5787030029297,Uptrend,Uptrend,-0.71
2017-01-30,164.8000030517578,164.13999938964844,165.04579803466797,Uptrend,Downtrend,0.55
2017-02-21,168.9199981689453,169.61000061035156,169.58400192260743,Uptrend,Uptrend,-0.02
2017-02-28,171.4199981689453,177.27999877929688,171.1675,Downtrend,Uptrend,-3.45
2017-05-01,165.44000244140625,166.0500030517578,165.38109741210937,Downtrend,Uptrend,-0.4
2017-06-01,166.66000366210938,166.2899932861328,166.62749923706053,Downtrend,Downtrend,0.2
2017-06-29,169.3000030517578,169.3699951171875,170.95700424194337,Uptrend,Uptrend,0.94
2017-07-26,173.02000427246094,173.0500030517578,174.17740173339843,Uptrend,Uptrend,0.65
2017-08-24,178.42999267578125,179.60000610351562,179.34750030517577,Uptrend,Uptrend,-0.14
2017-08-30,180.3500061035156,181.16000366210935,182.14139923095703,Uptrend,Uptrend,0.54
2017-09-05,176.97999572753906,176.7899932861328,178.582999420166,Uptrend,Downtrend,1.01
2017-09-06,176.7899932861328,173.99000549316406,176.87549728393554,Uptrend,Downtrend,1.66
2017-09-25,182.5200042724609,181.8600006103516,181.4052993774414,Downtrend,Downtrend,-0.25
2017-11-29,189.8500061035156,193.00999450683597,192.03750122070312,Uptrend,Uptrend,-0.5
2017-11-30,193.00999450683597,194.55999755859372,194.33200439453125,Uptrend,Uptrend,-0.12
2018-01-03,199.7899932861328,200.69000244140625,200.18199798583984,Uptrend,Uptrend,-0.25
2018-01-26,217.19000244140625,215.4600067138672,213.61309967041015,Downtrend,Downtrend,-0.86
2018-02-06,201.2400054931641,200.3699951171875,197.21950073242186,Downtrend,Downtrend,-1.57
2018-03-05,203.2400054931641,204.5500030517578,203.613800201416,Uptrend,Uptrend,-0.46
2018-03-19,203.9900054931641,204.75,202.31420013427734,Downtrend,Uptrend,-1.19
2018-03-27,196.1499938964844,196.6699981689453,196.10880004882813,Downtrend,Uptrend,-0.29
2018-04-03,197.9600067138672,200.1100006103516,197.98069931030273,Uptrend,Uptrend,-1.06
2018-04-18,199.50999450683597,200.3800048828125,198.0649006652832,Downtrend,Uptrend,-1.16
2018-05-10,201.1999969482422,199.3000030517578,201.83210342407227,Uptrend,Downtrend,1.27
2018-05-24,194.8300018310547,194.1499938964844,192.90400161743165,Downtrend,Downtrend,-0.64
2018-07-05,187.5,187.55999755859372,187.79030029296874,Uptrend,Uptrend,0.12
2018-08-01,197.8500061035156,198.05999755859372,197.85160232543944,Uptrend,Uptrend,-0.11
2018-08-02,198.05999755859372,200.2400054931641,198.16069915771484,Uptrend,Uptrend,-1.04
2018-08-29,211.2700042724609,209.75,210.7118997192383,Downtrend,Downtrend,0.46
2018-09-07,214.0399932861328,215.1100006103516,212.5962989807129,Downtrend,Uptrend,-1.17
2018-10-16,209.8300018310547,210.5200042724609,209.93619857788087,Uptrend,Uptrend,-0.28
2018-10-25,201.97999572753903,198.4900054931641,203.21369827270507,Uptrend,Downtrend,2.38
2018-11-26,210.6300048828125,212.52999877929688,210.91140075683595,Uptrend,Uptrend,-0.76
2018-12-26,197.57000732421875,200.1199951171875,192.79030029296874,Downtrend,Uptrend,-3.66
2019-01-09,196.3699951171875,196.5800018310547,196.41679840087892,Uptrend,Uptrend,-0.08
2019-01-18,204.47999572753903,200.72000122070312,204.55300033569335,Uptrend,Downtrend,1.91
2019-02-01,209.19000244140625,208.5200042724609,208.31209854125976,Downtrend,Downtrend,-0.1
2019-03-04,201.80999755859372,201.47000122070312,201.2552976989746,Downtrend,Downtrend,-0.11
2019-04-08,205.25,204.9199981689453,205.31150146484376,Uptrend,Downtrend,0.19
2019-04-10,204.5200042724609,206.6699981689453,206.2362989807129,Uptrend,Uptrend,-0.21
2019-06-25,208.07000732421875,208.50999450683597,206.70890167236328,Downtrend,Uptrend,-0.86
2019-06-27,212.0200042724609,213.1699981689453,212.67850341796876,Uptrend,Uptrend,-0.23
2019-07-01,214.6199951171875,214.5399932861328,215.52410034179687,Uptrend,Downtrend,0.46
2019-07-08,215.1300048828125,214.75,215.1438981628418,Uptrend,Downtrend,0.18
2019-08-27,198.3500061035156,200.4499969482422,199.82970001220704,Uptrend,Uptrend,-0.31
2019-08-30,203.41000366210935,200.8999938964844,204.30569915771486,Uptrend,Downtrend,1.7
2019-11-04,217.97999572753903,220.8800048828125,218.1931004333496,Uptrend,Uptrend,-1.22
2019-11-19,219.02999877929688,217.47999572753903,219.71599960327148,Uptrend,Downtrend,1.03
2019-12-02,220.3300018310547,218.0800018310547,219.48620193481446,Downtrend,Downtrend,0.64
2019-12-19,225.2100067138672,226.30999755859372,227.13500152587892,Uptrend,Uptrend,0.36
2020-01-30,227.8800048828125,224.42999267578125,228.44649917602538,Uptrend,Downtrend,1.79
2020-02-21,229.3300018310547,221.69000244140625,228.5480009460449,Downtrend,Downtrend,3.09
2020-02-26,216.05999755859372,207.6699981689453,217.5666990661621,Uptrend,Downtrend,4.77
2020-03-26,183.8999938964844,179.66000366210938,183.26359909057618,Downtrend,Downtrend,2.01
2020-03-30,183.17999267578125,182.8300018310547,183.6021012878418,Uptrend,Downtrend,0.42
2020-05-01,182.6699981689453,177.9499969482422,181.89710037231444,Downtrend,Downtrend,2.22
2020-05-05,176.02999877929688,172.3800048828125,178.60359954833984,Uptrend,Downtrend,3.61
2020-05-19,172.49000549316406,176.02000427246094,172.27090362548827,Downtrend,Uptrend,-2.13
2020-06-08,201.55999755859372,196.07000732421875,201.2435986328125,Downtrend,Downtrend,2.64
2020-06-12,181.2100067138672,181.5500030517578,181.72790069580077,Uptrend,Uptrend,0.1
2020-06-16,182.3000030517578,180.8600006103516,181.77290100097656,Downtrend,Downtrend,0.5
2020-06-25,178.85000610351562,175.3699951171875,178.81780136108398,Downtrend,Downtrend,1.97
2020-07-01,177.99000549316406,178.8300018310547,178.39909973144532,Uptrend,Uptrend,-0.24
2020-07-06,182.72000122070312,181.1499938964844,181.6302005004883,Downtrend,Downtrend,0.27
2020-07-28,194.1199951171875,196.41000366210935,192.78620361328126,Downtrend,Uptrend,-1.85
2020-08-04,200.2400054931641,203.6199951171875,201.46560104370118,Uptrend,Uptrend,-1.06
2020-08-10,212.5800018310547,212.66000366210935,215.12380111694335,Uptrend,Uptrend,1.16
2020-08-19,207.2100067138672,206.1199951171875,207.3038021850586,Uptrend,Downtrend,0.57
2020-08-28,218.5500030517578,218.0399932861328,219.63300079345703,Uptrend,Downtrend,0.73
2020-10-14,210.91000366210935,211.6499938964844,210.3246012878418,Downtrend,Uptrend,-0.63
2020-10-19,208.9900054931641,210.05999755859372,208.14850082397462,Downtrend,Uptrend,-0.91
2020-11-05,207.4499969482422,208.8500061035156,207.93450073242187,Uptrend,Uptrend,-0.44
2020-11-24,233.9199981689453,233.1300048828125,234.3436001586914,Uptrend,Downtrend,0.52
2020-11-27,231.5500030517578,228.91000366210935,229.23670150756837,Downtrend,Downtrend,0.14
2020-12-01,229.67999267578125,230.4199981689453,229.42330017089844,Downtrend,Uptrend,-0.43
2021-01-22,232.9199981689453,233.00999450683597,233.7700015258789,Uptrend,Uptrend,0.33
2021-01-27,227.3600006103516,230.9499969482422,225.6727995300293,Downtrend,Uptrend,-2.28
2021-02-17,245.25,243.5,245.3002000427246,Uptrend,Downtrend,0.74
2021-03-17,252.0,252.4600067138672,250.34549789428712,Downtrend,Uptrend,-0.84
2021-03-18,252.4600067138672,250.9900054931641,254.76070083618163,Uptrend,Downtrend,1.5
2021-04-14,267.5299987792969,269.1400146484375,269.57459533691406,Uptrend,Uptrend,0.16
2021-05-07,290.92999267578125,292.3299865722656,291.01689971923827,Uptrend,Uptrend,-0.45
2021-05-20,286.7300109863281,287.739990234375,286.347799987793,Downtrend,Uptrend,-0.48
2021-05-25,287.20001220703125,287.3299865722656,290.04760314941404,Uptrend,Uptrend,0.95
